G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
8500,0.787886,,,,,,,,,,,
8550,0.648202,,,,,,,,,,,
8600,0.556705,,,,,,,,,,,
8650,0.550338,,,,,,,,,,,
8700,0.475703,,,,,,,,,,,
8750,0.4034,,,,,,,,,,,
8800,0.288115,,,,,,,,,,,
8850,0.287059,,,,,,,,,,,
8900,0.301836,,,,,,,,,,,
8950,0.317435,,,,,,,,,,,
9000,0.24185,,,,,,,,,,,
9050,0.269166,,,,,,,,,,,
9100,0.196204,,,,,,,,,,,
9150,0.105644,,,,,,,,,,,
9200,0.152097,,,,,,,,,,,
9250,0.0395967,,,,,,,,,,,
9300,0.0815522,,,,,,,,,,,
9350,0.0377559,,,,,,,,,,,
9400,-0.123493,,,,,,,,,,,
9450,-0.186355,,,,,,,,,,,
9500,-0.182191,,,,,,,,,,,
9550,-0.206836,,,,,,,,,,,
9600,-0.18391,,,,,,,,,,,
9650,-0.0858545,,,,,,,,,,,
9700,-0.138078,,,,,,,,,,,
9750,-0.0716464,,,,,,,,,,,
9800,-0.115386,,,,,,,,,,,
9850,-0.021928,,,,,,,,,,,
9900,0.0507249,,,,,,,,,,,
9950,0.0111787,,,,,,,,,,,
10000,-0.0751895,,,,,,,,,,,
10050,0.0448023,,,,,,,,,,,
10100,0.0258876,,,,,,,,,,,
10150,0.0851931,,,,,,,,,,,
10200,0.096962,,,,,,,,,,,
10250,0.0997766,,,,,,,,,,,
10300,0.123069,,,,,,,,,,,
10350,0.0754532,,,,,,,,,,,
10400,0.204176,,,,,,,,,,,
10450,0.216878,,,,,,,,,,,
10500,0.216195,,,,,,,,,,,
10550,0.160788,,,,,,,,,,,
10600,0.200743,,,,,,,,,,,
10650,0.104748,,,,,,,,,,,
10700,0.159442,,,,,,,,,,,
10750,0.252837,,,,,,,,,,,
10800,0.252123,,,,,,,,,,,
10850,0.286549,,,,,,,,,,,
10900,0.336089,,,,,,,,,,,
10950,0.358831,,,,,,,,,,,
11000,0.323664,,,,,,,,,,,
11050,0.220949,,,,,,,,,,,
11100,0.237195,,,,,,,,,,,
11150,0.266353,,,,,,,,,,,
11200,0.280392,,,,,,,,,,,
11250,0.383113,,,,,,,,,,,
11300,0.274286,,,,,,,,,,,
11350,0.0685844,,,,,,,,,,,
11400,0.0956884,,,,,,,,,,,
11450,0.246987,,,,,,,,,,,
11500,0.201552,,,,,,,,,,,
11550,0.18113,,,,,,,,,,,
11600,0.14741,,,,,,,,,,,
11650,0.205833,,,,,,,,,,,
11700,0.190167,,,,,,,,,,,
11750,0.0754,,,,,,,,,,,
11800,0.0358231,,,,,,,,,,,
11850,-0.166921,,,,,,,,,,,
11900,-0.209314,,,,,,,,,,,
11950,-0.221469,,,,,,,,,,,
12000,-0.277856,,,,,,,,,,,
12050,-0.115955,,,,,,,,,,,
12100,-0.173693,,,,,,,,,,,
12150,-0.0423275,,,,,,,,,,,
12200,-0.0630768,,,,,,,,,,,
12250,-0.0024603,,,,,,,,,,,
12300,0.0793209,,,,,,,,,,,
12350,0.110746,,,,,,,,,,,
12400,0.130676,,,,,,,,,,,
12450,0.161857,,,,,,,,,,,
12500,0.164511,,,,,,,,,,,
12550,0.107628,,,,,,,,,,,
12600,0.174674,,,,,,,,,,,
12650,0.262607,,,,,,,,,,,
12700,0.266016,,,,,,,,,,,
12750,0.184773,,,,,,,,,,,
12800,0.145926,,,,,,,,,,,
12850,0.158722,,,,,,,,,,,
12900,0.1722,,,,,,,,,,,
12950,0.165927,,,,,,,,,,,
13000,0.0115004,,,,,,,,,,,
13050,0.0192896,,,,,,,,,,,
13100,-0.0357266,,,,,,,,,,,
13150,0.0727139,,,,,,,,,,,
13200,0.0425233,,,,,,,,,,,
13250,0.0941323,,,,,,,,,,,
13300,0.108682,,,,,,,,,,,
13350,0.0298983,,,,,,,,,,,
13400,0.0981521,,,,,,,,,,,
13450,0.144271,,,,,,,,,,,
13500,0.204467,,,,,,,,,,,
13550,0.111735,,,,,,,,,,,
13600,0.101339,,,,,,,,,,,
13650,0.0518661,,,,,,,,,,,
13700,0.043053,,,,,,,,,,,
13750,0.114171,,,,,,,,,,,
13800,0.0926725,,,,,,,,,,,
13850,0.0413087,,,,,,,,,,,
13900,0.00637379,,,,,,,,,,,
13950,-0.0232995,,,,,,,,,,,
14000,-0.0461656,,,,,,,,,,,
14050,-0.0875374,,,,,,,,,,,
14100,-0.0895862,,,,,,,,,,,
14150,-0.0763528,,,,,,,,,,,
14200,-0.0381123,,,,,,,,,,,
14250,-0.162201,,,,,,,,,,,
14300,-0.158056,,,,,,,,,,,
14350,-0.148035,,,,,,,,,,,
14400,-0.123867,,,,,,,,,,,
14450,-0.149439,,,,,,,,,,,
14500,-0.0956516,,,,,,,,,,,
14550,-0.15881,,,,,,,,,,,
14600,-0.134808,,,,,,,,,,,
14650,-0.187195,,,,,,,,,,,
14700,-0.0343363,,,,,,,,,,,
14750,-0.0507832,,,,,,,,,,,
14800,-0.133246,,,,,,,,,,,
14850,-0.118521,,,,,,,,,,,
14900,-0.0934333,,,,,,,,,,,
14950,-0.142311,,,,,,,,,,,
15000,-0.161218,,,,,,,,,,,
15050,-0.0562116,,,,,,,,,,,
15100,-0.00502074,,,,,,,,,,,
15150,-0.0115076,,,,,,,,,,,
15200,-0.074092,,,,,,,,,,,
15250,-0.159163,,,,,,,,,,,
15300,-0.104966,,,,,,,,,,,
15350,0.052972,,,,,,,,,,,
15400,0.0355703,,,,,,,,,,,
15450,0.0561882,,,,,,,,,,,
15500,-0.0252504,,,,,,,,,,,
15550,-0.0731488,,,,,,,,,,,
15600,-0.138165,,,,,,,,,,,
15650,-0.00995076,,,,,,,,,,,
15700,0.0739377,,,,,,,,,,,
15750,0.0676013,,,,,,,,,,,
15800,0.0391169,,,,,,,,,,,
15850,0.0508664,,,,,,,,,,,
15900,0.0263009,,,,,,,,,,,
15950,0.00582418,,,,,,,,,,,
16000,0.104107,,,,,,,,,,,
16050,0.175327,,,,,,,,,,,
16100,0.305886,,,,,,,,,,,
16150,0.270648,,,,,,,,,,,
16200,0.197567,,,,,,,,,,,
16250,0.188565,,,,,,,,,,,
16300,0.169181,,,,,,,,,,,
16350,0.137638,,,,,,,,,,,
16400,0.128649,,,,,,,,,,,
16450,0.0456383,,,,,,,,,,,
16500,0.108927,,,,,,,,,,,
16550,0.0929748,,,,,,,,,,,
16600,0.0704249,,,,,,,,,,,
16650,0.205892,,,,,,,,,,,
16700,0.26525,,,,,,,,,,,
16750,0.159607,,,,,,,,,,,
16800,0.193326,,,,,,,,,,,
16850,0.251894,,,,,,,,,,,
16900,0.308195,,,,,,,,,,,
16950,0.377809,,,,,,,,,,,
17000,0.240692,,,,,,,,,,,
17050,0.273409,,,,,,,,,,,
17100,0.313734,,,,,,,,,,,
17150,0.318925,,,,,,,,,,,
17200,0.317249,,,,,,,,,,,
17250,0.376144,,,,,,,,,,,
17300,0.373419,,,,,,,,,,,
17350,0.427979,,,,,,,,,,,
17400,0.35318,,,,,,,,,,,
17450,0.370238,,,,,,,,,,,
17500,0.287659,,,,,,,,,,,
17550,0.354507,,,,,,,,,,,
17600,0.369447,,,,,,,,,,,
17650,0.282722,,,,,,,,,,,
17700,0.160512,,,,,,,,,,,
17750,0.0875065,,,,,,,,,,,
17800,0.117458,,,,,,,,,,,
17850,0.0530683,,,,,,,,,,,
17900,-0.017017,,,,,,,,,,,
17950,0.0799174,,,,,,,,,,,
18000,0.00141177,,,,,,,,,,,
18050,0.0982261,,,,,,,,,,,
18100,0.188373,,,,,,,,,,,
18150,0.178345,,,,,,,,,,,
18200,0.00517401,,,,,,,,,,,
18250,0.0344126,,,,,,,,,,,
18300,0.0820633,,,,,,,,,,,
18350,-0.0319652,,,,,,,,,,,
18400,-0.0276948,,,,,,,,,,,
