G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
8600,0.561539,,,,,,,,,,,
8650,0.559839,,,,,,,,,,,
8700,0.589811,,,,,,,,,,,
8750,0.513875,,,,,,,,,,,
8800,0.54708,,,,,,,,,,,
8850,0.629662,,,,,,,,,,,
8900,0.620705,,,,,,,,,,,
8950,0.684662,,,,,,,,,,,
9000,0.788832,,,,,,,,,,,
9050,0.865351,,,,,,,,,,,
9100,0.863009,,,,,,,,,,,
9150,0.932821,,,,,,,,,,,
9200,1.00121,,,,,,,,,,,
9250,1.03417,,,,,,,,,,,
9300,1.13331,,,,,,,,,,,
9350,1.263,,,,,,,,,,,
9400,1.3194,,,,,,,,,,,
9450,1.40256,,,,,,,,,,,
9500,1.45235,,,,,,,,,,,
9550,1.39407,,,,,,,,,,,
9600,1.4015,,,,,,,,,,,
9650,1.54783,,,,,,,,,,,
9700,1.61723,,,,,,,,,,,
9750,1.55427,,,,,,,,,,,
9800,1.72743,,,,,,,,,,,
9850,1.6754,,,,,,,,,,,
9900,1.66882,,,,,,,,,,,
9950,1.60697,,,,,,,,,,,
10000,1.58662,,,,,,,,,,,
10050,1.60808,,,,,,,,,,,
10100,1.60648,,,,,,,,,,,
10150,1.6055,,,,,,,,,,,
10200,1.58867,,,,,,,,,,,
10250,1.43924,,,,,,,,,,,
10300,1.52722,,,,,,,,,,,
10350,1.47345,,,,,,,,,,,
10400,1.572,,,,,,,,,,,
10450,1.68437,,,,,,,,,,,
10500,1.65884,,,,,,,,,,,
10550,1.65632,,,,,,,,,,,
10600,1.71045,,,,,,,,,,,
10650,1.60891,,,,,,,,,,,
10700,1.55547,,,,,,,,,,,
10750,1.48094,,,,,,,,,,,
10800,1.44864,,,,,,,,,,,
10850,1.4291,,,,,,,,,,,
10900,1.49521,,,,,,,,,,,
10950,1.629,,,,,,,,,,,
11000,1.61314,,,,,,,,,,,
11050,1.66032,,,,,,,,,,,
11100,1.56642,,,,,,,,,,,
11150,1.48164,,,,,,,,,,,
11200,1.41163,,,,,,,,,,,
11250,1.39689,,,,,,,,,,,
11300,1.36724,,,,,,,,,,,
11350,1.34853,,,,,,,,,,,
11400,1.46548,,,,,,,,,,,
11450,1.35359,,,,,,,,,,,
11500,1.47942,,,,,,,,,,,
11550,1.46258,,,,,,,,,,,
11600,1.48938,,,,,,,,,,,
11650,1.43433,,,,,,,,,,,
11700,1.57019,,,,,,,,,,,
11750,1.60075,,,,,,,,,,,
11800,1.63324,,,,,,,,,,,
11850,1.64856,,,,,,,,,,,
11900,1.63397,,,,,,,,,,,
11950,1.67657,,,,,,,,,,,
12000,1.67081,,,,,,,,,,,
12050,1.61608,,,,,,,,,,,
12100,1.51316,,,,,,,,,,,
12150,1.5212,,,,,,,,,,,
12200,1.55048,,,,,,,,,,,
12250,1.58488,,,,,,,,,,,
12300,1.55733,,,,,,,,,,,
12350,1.67846,,,,,,,,,,,
12400,1.70044,,,,,,,,,,,
12450,1.79261,,,,,,,,,,,
12500,1.80042,,,,,,,,,,,
12550,1.83086,,,,,,,,,,,
12600,1.83565,,,,,,,,,,,
12650,1.82484,,,,,,,,,,,
12700,1.71584,,,,,,,,,,,
12750,1.81275,,,,,,,,,,,
12800,1.83156,,,,,,,,,,,
12850,1.79981,,,,,,,,,,,
12900,1.65889,,,,,,,,,,,
12950,1.65972,,,,,,,,,,,
13000,1.75632,,,,,,,,,,,
13050,1.79566,,,,,,,,,,,
13100,1.8302,,,,,,,,,,,
13150,1.80867,,,,,,,,,,,
13200,1.89838,,,,,,,,,,,
13250,2.02733,,,,,,,,,,,
13300,1.91849,,,,,,,,,,,
13350,1.92446,,,,,,,,,,,
13400,1.8361,,,,,,,,,,,
13450,1.75842,,,,,,,,,,,
13500,1.76642,,,,,,,,,,,
13550,1.70926,,,,,,,,,,,
13600,1.72725,,,,,,,,,,,
13650,1.68781,,,,,,,,,,,
13700,1.77746,,,,,,,,,,,
13750,1.87342,,,,,,,,,,,
13800,1.77131,,,,,,,,,,,
13850,1.65707,,,,,,,,,,,
13900,1.7005,,,,,,,,,,,
13950,1.74831,,,,,,,,,,,
14000,1.79696,,,,,,,,,,,
14050,1.72334,,,,,,,,,,,
14100,1.86439,,,,,,,,,,,
14150,1.80377,,,,,,,,,,,
14200,1.72837,,,,,,,,,,,
14250,1.66593,,,,,,,,,,,
14300,1.67492,,,,,,,,,,,
14350,1.62767,,,,,,,,,,,
14400,1.56504,,,,,,,,,,,
14450,1.51464,,,,,,,,,,,
14500,1.486,,,,,,,,,,,
14550,1.63224,,,,,,,,,,,
14600,1.52315,,,,,,,,,,,
14650,1.41778,,,,,,,,,,,
14700,1.40569,,,,,,,,,,,
14750,1.48189,,,,,,,,,,,
14800,1.58192,,,,,,,,,,,
14850,1.62598,,,,,,,,,,,
14900,1.54248,,,,,,,,,,,
14950,1.4255,,,,,,,,,,,
15000,1.42049,,,,,,,,,,,
15050,1.37825,,,,,,,,,,,
15100,1.20035,,,,,,,,,,,
15150,1.36571,,,,,,,,,,,
15200,1.33457,,,,,,,,,,,
15250,1.39833,,,,,,,,,,,
15300,1.46222,,,,,,,,,,,
15350,1.506,,,,,,,,,,,
15400,1.642,,,,,,,,,,,
15450,1.70052,,,,,,,,,,,
15500,1.61798,,,,,,,,,,,
15550,1.70982,,,,,,,,,,,
15600,1.62548,,,,,,,,,,,
15650,1.64119,,,,,,,,,,,
15700,1.60504,,,,,,,,,,,
15750,1.54522,,,,,,,,,,,
15800,1.57847,,,,,,,,,,,
15850,1.58072,,,,,,,,,,,
15900,1.56007,,,,,,,,,,,
15950,1.50703,,,,,,,,,,,
16000,1.57627,,,,,,,,,,,
16050,1.45061,,,,,,,,,,,
16100,1.41715,,,,,,,,,,,
16150,1.50789,,,,,,,,,,,
16200,1.41125,,,,,,,,,,,
16250,1.4208,,,,,,,,,,,
16300,1.40452,,,,,,,,,,,
16350,1.31085,,,,,,,,,,,
16400,1.32799,,,,,,,,,,,
16450,1.23384,,,,,,,,,,,
16500,1.22203,,,,,,,,,,,
16550,1.18205,,,,,,,,,,,
16600,1.32356,,,,,,,,,,,
16650,1.39893,,,,,,,,,,,
16700,1.42647,,,,,,,,,,,
16750,1.35569,,,,,,,,,,,
16800,1.38351,,,,,,,,,,,
16850,1.42394,,,,,,,,,,,
16900,1.42495,,,,,,,,,,,
16950,1.37309,,,,,,,,,,,
17000,1.45144,,,,,,,,,,,
17050,1.45011,,,,,,,,,,,
17100,1.33947,,,,,,,,,,,
17150,1.294,,,,,,,,,,,
17200,1.33949,,,,,,,,,,,
17250,1.50764,,,,,,,,,,,
17300,1.47073,,,,,,,,,,,
17350,1.41602,,,,,,,,,,,
17400,1.38297,,,,,,,,,,,
17450,1.32602,,,,,,,,,,,
17500,1.30444,,,,,,,,,,,
17550,1.30793,,,,,,,,,,,
17600,1.37095,,,,,,,,,,,
17650,1.41288,,,,,,,,,,,
17700,1.34955,,,,,,,,,,,
17750,1.29088,,,,,,,,,,,
17800,1.37115,,,,,,,,,,,
17850,1.32298,,,,,,,,,,,
17900,1.47298,,,,,,,,,,,
17950,1.46776,,,,,,,,,,,
18000,1.44283,,,,,,,,,,,
18050,1.42347,,,,,,,,,,,
18100,1.46758,,,,,,,,,,,
18150,1.54837,,,,,,,,,,,
18200,1.47216,,,,,,,,,,,
18250,1.54607,,,,,,,,,,,
18300,1.46328,,,,,,,,,,,
18350,1.53225,,,,,,,,,,,
18400,1.59602,,,,,,,,,,,
18450,1.64075,,,,,,,,,,,
18500,1.58401,,,,,,,,,,,
18550,1.70372,,,,,,,,,,,
18600,1.74453,,,,,,,,,,,
18650,1.6233,,,,,,,,,,,
18700,1.68799,,,,,,,,,,,
18750,1.60755,,,,,,,,,,,
18800,1.54056,,,,,,,,,,,
18850,1.51745,,,,,,,,,,,
18900,1.51348,,,,,,,,,,,
18950,1.55416,,,,,,,,,,,
19000,1.62057,,,,,,,,,,,
19050,1.62277,,,,,,,,,,,
19100,1.64502,,,,,,,,,,,
19150,1.68631,,,,,,,,,,,
19200,1.68132,,,,,,,,,,,
19250,1.67633,,,,,,,,,,,
19300,1.73997,,,,,,,,,,,
19350,1.74215,,,,,,,,,,,
19400,1.82876,,,,,,,,,,,
19450,1.83974,,,,,,,,,,,
19500,1.85595,,,,,,,,,,,
19550,1.8007,,,,,,,,,,,
19600,1.66622,,,,,,,,,,,
19650,1.77712,,,,,,,,,,,
19700,1.80493,,,,,,,,,,,
19750,1.82842,,,,,,,,,,,
19800,1.76903,,,,,,,,,,,
19850,1.75778,,,,,,,,,,,
19900,1.78403,,,,,,,,,,,
19950,1.85214,,,,,,,,,,,
20000,1.83501,,,,,,,,,,,
20050,1.74136,,,,,,,,,,,
20100,1.77384,,,,,,,,,,,
20150,1.81306,,,,,,,,,,,
20200,1.7582,,,,,,,,,,,
20250,1.82015,,,,,,,,,,,
20300,1.73182,,,,,,,,,,,
20350,1.7177,,,,,,,,,,,
20400,1.66955,,,,,,,,,,,
20450,1.69358,,,,,,,,,,,
20500,1.66808,,,,,,,,,,,
20550,1.59904,,,,,,,,,,,
20600,1.67402,,,,,,,,,,,
20650,1.74255,,,,,,,,,,,
20700,1.70596,,,,,,,,,,,
20750,1.79088,,,,,,,,,,,
20800,1.73238,,,,,,,,,,,
20850,1.70356,,,,,,,,,,,
20900,1.71738,,,,,,,,,,,
20950,1.70155,,,,,,,,,,,
21000,1.76247,,,,,,,,,,,
21050,1.75694,,,,,,,,,,,
21100,1.71973,,,,,,,,,,,
21150,1.71511,,,,,,,,,,,
21200,1.72029,,,,,,,,,,,
21250,1.72479,,,,,,,,,,,
21300,1.732,,,,,,,,,,,
21350,1.75263,,,,,,,,,,,
21400,1.70741,,,,,,,,,,,
21450,1.71575,,,,,,,,,,,
21500,1.79072,,,,,,,,,,,
21550,1.8434,,,,,,,,,,,
21600,1.9869,,,,,,,,,,,
21650,2.0465,,,,,,,,,,,
21700,1.99494,,,,,,,,,,,
21750,2.08908,,,,,,,,,,,
21800,2.11251,,,,,,,,,,,
21850,2.18104,,,,,,,,,,,
21900,2.16923,,,,,,,,,,,
21950,2.19672,,,,,,,,,,,
22000,2.32061,,,,,,,,,,,
22050,2.26543,,,,,,,,,,,
22100,2.2567,,,,,,,,,,,
22150,2.21056,,,,,,,,,,,
22200,2.1014,,,,,,,,,,,
22250,2.03026,,,,,,,,,,,
22300,1.95933,,,,,,,,,,,
22350,1.92603,,,,,,,,,,,
22400,1.9002,,,,,,,,,,,
22450,1.89887,,,,,,,,,,,
22500,1.85588,,,,,,,,,,,
22550,1.86749,,,,,,,,,,,
22600,1.86597,,,,,,,,,,,
22650,1.98726,,,,,,,,,,,
22700,2.01651,,,,,,,,,,,
22750,2.06903,,,,,,,,,,,
22800,2.02586,,,,,,,,,,,
22850,1.92723,,,,,,,,,,,
22900,1.92998,,,,,,,,,,,
22950,1.9427,,,,,,,,,,,
23000,2.01556,,,,,,,,,,,
23050,2.13951,,,,,,,,,,,
23100,2.24604,,,,,,,,,,,
23150,2.20581,,,,,,,,,,,
23200,2.17848,,,,,,,,,,,
23250,2.17167,,,,,,,,,,,
23300,2.16826,,,,,,,,,,,
23350,2.02286,,,,,,,,,,,
23400,1.99419,,,,,,,,,,,
23450,1.951,,,,,,,,,,,
23500,1.81109,,,,,,,,,,,
23550,1.80198,,,,,,,,,,,
23600,1.75144,,,,,,,,,,,
23650,1.82338,,,,,,,,,,,
23700,1.7223,,,,,,,,,,,
23750,1.67286,,,,,,,,,,,
23800,1.72137,,,,,,,,,,,
23850,1.76517,,,,,,,,,,,
23900,1.6329,,,,,,,,,,,
23950,1.49603,,,,,,,,,,,
24000,1.39944,,,,,,,,,,,
24050,1.41791,,,,,,,,,,,
24100,1.5315,,,,,,,,,,,
24150,1.42685,,,,,,,,,,,
24200,1.49699,,,,,,,,,,,
24250,1.39463,,,,,,,,,,,
24300,1.52287,,,,,,,,,,,
24350,1.42875,,,,,,,,,,,
24400,1.43005,,,,,,,,,,,
24450,1.40087,,,,,,,,,,,
24500,1.33358,,,,,,,,,,,
24550,1.30729,,,,,,,,,,,
24600,1.37014,,,,,,,,,,,
24650,1.36159,,,,,,,,,,,
24700,1.37521,,,,,,,,,,,
24750,1.35356,,,,,,,,,,,
24800,1.49015,,,,,,,,,,,
24850,1.41602,,,,,,,,,,,
24900,1.29735,,,,,,,,,,,
24950,1.37365,,,,,,,,,,,
25000,1.39157,,,,,,,,,,,
25050,1.49631,,,,,,,,,,,
25100,1.65667,,,,,,,,,,,
25150,1.65488,,,,,,,,,,,
25200,1.64208,,,,,,,,,,,
25250,1.69987,,,,,,,,,,,
25300,1.71592,,,,,,,,,,,
25350,1.8307,,,,,,,,,,,
25400,1.86787,,,,,,,,,,,
25450,1.80773,,,,,,,,,,,
25500,1.8451,,,,,,,,,,,
25550,1.8503,,,,,,,,,,,
25600,1.8494,,,,,,,,,,,
25650,1.80123,,,,,,,,,,,
25700,1.83859,,,,,,,,,,,
25750,1.80605,,,,,,,,,,,
25800,1.81569,,,,,,,,,,,
25850,1.90344,,,,,,,,,,,
25900,1.73667,,,,,,,,,,,
25950,1.81223,,,,,,,,,,,
26000,1.79928,,,,,,,,,,,
26050,1.81287,,,,,,,,,,,
26100,1.78602,,,,,,,,,,,
26150,1.69604,,,,,,,,,,,
26200,1.68881,,,,,,,,,,,
26250,1.67061,,,,,,,,,,,
26300,1.59394,,,,,,,,,,,
26350,1.72677,,,,,,,,,,,
26400,1.65439,,,,,,,,,,,
26450,1.60007,,,,,,,,,,,
26500,1.55081,,,,,,,,,,,
26550,1.49826,,,,,,,,,,,
26600,1.54815,,,,,,,,,,,
26650,1.55461,,,,,,,,,,,
26700,1.57492,,,,,,,,,,,
26750,1.51079,,,,,,,,,,,
26800,1.41006,,,,,,,,,,,
26850,1.41256,,,,,,,,,,,
26900,1.49158,,,,,,,,,,,
26950,1.55449,,,,,,,,,,,
27000,1.54773,,,,,,,,,,,
27050,1.5603,,,,,,,,,,,
27100,1.62139,,,,,,,,,,,
27150,1.5718,,,,,,,,,,,
27200,1.68947,,,,,,,,,,,
27250,1.66327,,,,,,,,,,,
27300,1.64735,,,,,,,,,,,
27350,1.66665,,,,,,,,,,,
27400,1.54574,,,,,,,,,,,
27450,1.42368,,,,,,,,,,,
27500,1.50759,,,,,,,,,,,
27550,1.49597,,,,,,,,,,,
27600,1.4473,,,,,,,,,,,
27650,1.39684,,,,,,,,,,,
27700,1.41679,,,,,,,,,,,
27750,1.4433,,,,,,,,,,,
27800,1.44249,,,,,,,,,,,
27850,1.50428,,,,,,,,,,,
27900,1.5665,,,,,,,,,,,
27950,1.6104,,,,,,,,,,,
28000,1.71907,,,,,,,,,,,
28050,1.71144,,,,,,,,,,,
