G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
8300,0.00255522,,,,,,,,,,,
8350,0.0982358,,,,,,,,,,,
8400,0.113586,,,,,,,,,,,
8450,0.0127716,,,,,,,,,,,
8500,-0.03455,,,,,,,,,,,
8550,-0.00647196,,,,,,,,,,,
8600,0.0446709,,,,,,,,,,,
8650,0.0244517,,,,,,,,,,,
8700,0.0119221,,,,,,,,,,,
8750,0.0353164,,,,,,,,,,,
8800,0.0631517,,,,,,,,,,,
8850,0.0734455,,,,,,,,,,,
8900,0.195841,,,,,,,,,,,
8950,0.196559,,,,,,,,,,,
9000,0.122172,,,,,,,,,,,
9050,0.127614,,,,,,,,,,,
9100,0.120026,,,,,,,,,,,
9150,0.277498,,,,,,,,,,,
9200,0.266476,,,,,,,,,,,
9250,0.212046,,,,,,,,,,,
9300,0.244318,,,,,,,,,,,
9350,0.348023,,,,,,,,,,,
9400,0.363093,,,,,,,,,,,
9450,0.338749,,,,,,,,,,,
9500,0.276395,,,,,,,,,,,
9550,0.298294,,,,,,,,,,,
9600,0.222447,,,,,,,,,,,
9650,0.094383,,,,,,,,,,,
9700,0.0591549,,,,,,,,,,,
9750,0.0629411,,,,,,,,,,,
9800,0.0533526,,,,,,,,,,,
9850,0.155902,,,,,,,,,,,
9900,0.121687,,,,,,,,,,,
9950,0.109305,,,,,,,,,,,
10000,0.0500107,,,,,,,,,,,
10050,-0.01342,,,,,,,,,,,
10100,0.0692847,,,,,,,,,,,
10150,0.070879,,,,,,,,,,,
10200,0.086309,,,,,,,,,,,
10250,0.182509,,,,,,,,,,,
10300,0.131319,,,,,,,,,,,
10350,-0.0433769,,,,,,,,,,,
10400,-0.103999,,,,,,,,,,,
10450,-0.14137,,,,,,,,,,,
10500,-0.123985,,,,,,,,,,,
10550,-0.0621717,,,,,,,,,,,
10600,-0.148668,,,,,,,,,,,
10650,-0.232421,,,,,,,,,,,
10700,-0.296293,,,,,,,,,,,
10750,-0.243834,,,,,,,,,,,
10800,-0.268984,,,,,,,,,,,
10850,-0.213694,,,,,,,,,,,
10900,-0.192803,,,,,,,,,,,
10950,-0.0130334,,,,,,,,,,,
11000,-0.0647168,,,,,,,,,,,
11050,-0.146608,,,,,,,,,,,
11100,-0.141416,,,,,,,,,,,
11150,-0.0928255,,,,,,,,,,,
11200,-0.156211,,,,,,,,,,,
11250,-0.195043,,,,,,,,,,,
11300,-0.204726,,,,,,,,,,,
11350,-0.238752,,,,,,,,,,,
11400,-0.301484,,,,,,,,,,,
11450,-0.305982,,,,,,,,,,,
11500,-0.263398,,,,,,,,,,,
11550,-0.249206,,,,,,,,,,,
11600,-0.190982,,,,,,,,,,,
11650,-0.194644,,,,,,,,,,,
11700,-0.361871,,,,,,,,,,,
11750,-0.449476,,,,,,,,,,,
11800,-0.466736,,,,,,,,,,,
11850,-0.429732,,,,,,,,,,,
11900,-0.432175,,,,,,,,,,,
11950,-0.619596,,,,,,,,,,,
12000,-0.658478,,,,,,,,,,,
12050,-0.680321,,,,,,,,,,,
12100,-0.736304,,,,,,,,,,,
12150,-0.735609,,,,,,,,,,,
12200,-0.792391,,,,,,,,,,,
12250,-0.77176,,,,,,,,,,,
12300,-0.638845,,,,,,,,,,,
12350,-0.598207,,,,,,,,,,,
12400,-0.590891,,,,,,,,,,,
12450,-0.684336,,,,,,,,,,,
12500,-0.673784,,,,,,,,,,,
12550,-0.593429,,,,,,,,,,,
12600,-0.722644,,,,,,,,,,,
12650,-0.729252,,,,,,,,,,,
12700,-0.614139,,,,,,,,,,,
12750,-0.57528,,,,,,,,,,,
12800,-0.548255,,,,,,,,,,,
12850,-0.404167,,,,,,,,,,,
12900,-0.392289,,,,,,,,,,,
12950,-0.424374,,,,,,,,,,,
13000,-0.384151,,,,,,,,,,,
13050,-0.339708,,,,,,,,,,,
13100,-0.274071,,,,,,,,,,,
13150,-0.343217,,,,,,,,,,,
13200,-0.28885,,,,,,,,,,,
13250,-0.313705,,,,,,,,,,,
13300,-0.256086,,,,,,,,,,,
13350,-0.209596,,,,,,,,,,,
13400,-0.0526405,,,,,,,,,,,
13450,-0.204349,,,,,,,,,,,
13500,-0.198381,,,,,,,,,,,
13550,-0.151394,,,,,,,,,,,
13600,-0.12455,,,,,,,,,,,
13650,-0.113312,,,,,,,,,,,
13700,-0.0361945,,,,,,,,,,,
13750,-0.124704,,,,,,,,,,,
13800,-0.0803343,,,,,,,,,,,
13850,-0.0432492,,,,,,,,,,,
13900,-0.0306665,,,,,,,,,,,
13950,0.0292961,,,,,,,,,,,
14000,0.105852,,,,,,,,,,,
14050,0.122491,,,,,,,,,,,
14100,0.0924014,,,,,,,,,,,
14150,0.223116,,,,,,,,,,,
14200,0.311407,,,,,,,,,,,
14250,0.362586,,,,,,,,,,,
14300,0.351286,,,,,,,,,,,
14350,0.401063,,,,,,,,,,,
14400,0.496689,,,,,,,,,,,
