G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
8300,-1.60978,,,,,,,,,,,
8350,-1.45078,,,,,,,,,,,
8400,-1.4042,,,,,,,,,,,
8450,-1.38549,,,,,,,,,,,
8500,-1.30866,,,,,,,,,,,
8550,-1.23487,,,,,,,,,,,
8600,-1.20769,,,,,,,,,,,
8650,-1.30701,,,,,,,,,,,
8700,-1.32716,,,,,,,,,,,
8750,-1.18309,,,,,,,,,,,
8800,-1.23987,,,,,,,,,,,
8850,-1.22519,,,,,,,,,,,
8900,-1.12426,,,,,,,,,,,
8950,-1.12174,,,,,,,,,,,
9000,-1.15361,,,,,,,,,,,
9050,-1.21835,,,,,,,,,,,
9100,-1.1299,,,,,,,,,,,
9150,-1.01623,,,,,,,,,,,
9200,-1.0216,,,,,,,,,,,
9250,-0.93319,,,,,,,,,,,
9300,-0.929764,,,,,,,,,,,
9350,-0.983799,,,,,,,,,,,
9400,-0.939238,,,,,,,,,,,
9450,-0.885882,,,,,,,,,,,
9500,-0.830435,,,,,,,,,,,
9550,-0.702745,,,,,,,,,,,
9600,-0.7556,,,,,,,,,,,
9650,-0.734284,,,,,,,,,,,
9700,-0.735676,,,,,,,,,,,
9750,-0.770434,,,,,,,,,,,
9800,-0.779285,,,,,,,,,,,
9850,-0.68922,,,,,,,,,,,
9900,-0.657452,,,,,,,,,,,
9950,-0.654416,,,,,,,,,,,
10000,-0.625606,,,,,,,,,,,
10050,-0.569859,,,,,,,,,,,
10100,-0.774512,,,,,,,,,,,
10150,-0.776346,,,,,,,,,,,
10200,-0.824014,,,,,,,,,,,
10250,-0.796745,,,,,,,,,,,
10300,-0.818275,,,,,,,,,,,
10350,-0.847866,,,,,,,,,,,
10400,-0.87192,,,,,,,,,,,
10450,-0.756634,,,,,,,,,,,
10500,-0.66839,,,,,,,,,,,
10550,-0.705262,,,,,,,,,,,
10600,-0.807046,,,,,,,,,,,
10650,-0.641711,,,,,,,,,,,
10700,-0.671084,,,,,,,,,,,
10750,-0.784434,,,,,,,,,,,
10800,-0.87529,,,,,,,,,,,
10850,-0.908727,,,,,,,,,,,
10900,-0.979073,,,,,,,,,,,
10950,-0.912543,,,,,,,,,,,
11000,-0.916927,,,,,,,,,,,
11050,-0.900617,,,,,,,,,,,
11100,-0.924722,,,,,,,,,,,
11150,-0.936695,,,,,,,,,,,
11200,-0.95258,,,,,,,,,,,
11250,-0.9266,,,,,,,,,,,
11300,-1.02579,,,,,,,,,,,
11350,-0.930168,,,,,,,,,,,
11400,-1.01677,,,,,,,,,,,
11450,-0.988842,,,,,,,,,,,
11500,-1.02873,,,,,,,,,,,
